Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,User_Score
Microsoft,2.99,1.9,0.1,0.5,92,8
Nintendo,3.14,1.24,0.91,0.2,84,7.8
Playstation,0.47,0.55,4.13,0.34,81,8.7
Playstation,2.71,1.85,0.11,0.81,96,8.6
Microsoft,2.81,2.19,0,0.47,97,7.9
Nintendo,2.62,1.64,0.99,0.23,93,8.3
Playstation,2.07,2.29,0.24,0.82,66,7.1
Playstation,2.73,1.83,0,0.83,85,7.6
Playstation,1.85,2.5,0.19,0.85,93,7.9
Playstation,1.74,1.21,1.87,0.51,83,7.3
Playstation,1.62,0.77,2.78,0.14,94,8.9
Microsoft,3.13,1.69,0.03,0.44,84,6.7
Playstation,1.92,1.08,2.11,0.17,85,6.6
Microsoft,3.22,1.55,0.01,0.48,81,5.4
Microsoft,3.11,1.55,0.08,0.51,90,8.8
Playstation,4.26,0.26,0.01,0.71,94,8.5
Nintendo,2.3,1.34,1.27,0.32,84,8.1
Playstation,0.65,0.75,3.61,0.2,89,8.8
Nintendo,1.21,2.43,1.03,0.52,85,8.6
Microsoft,1.09,3.47,0.03,0.57,90,6.1
Playstation,1.98,2.23,0.13,0.8,68,7.6
Playstation,3.81,0.63,0,0.68,92,8.5
Microsoft,3.59,1.08,0.05,0.38,80,6.5
Playstation,1.96,1.41,1.08,0.64,84,7.5
Nintendo,1.85,1.8,0.95,0.48,90,8
Playstation,0.61,3.28,0.06,1.12,89,8
Playstation,2.05,1.16,1.11,0.73,91,9
Playstation,1.7,1.99,0.16,1.18,86,8
Playstation,3.42,1.38,0.02,0.2,92,9.2
Playstation,3.49,0.01,0.01,1.48,82,8.2
Nintendo,3.05,1.17,0.29,0.46,68,7.1
Microsoft,3.4,0.99,0.09,0.45,93,8.5
Playstation,2.31,1.72,0.12,0.77,88,8.1
Playstation,3.98,0.26,0.01,0.66,88,8
Playstation,1.91,2,0.09,0.82,81,7.3
Playstation,2.74,1.33,0.12,0.61,92,8.7
Playstation,2.57,1.57,0.44,0.21,88,9
Nintendo,2.83,1.48,0,0.45,80,5.4
Playstation,2.36,2.1,0.02,0.25,62,7.7
Microsoft,2.99,1.27,0.04,0.42,94,8.7
Playstation,3.05,1.41,0.02,0.2,98,7.7
Playstation,1.94,1.95,0.08,0.7,82,8.2
Playstation,2.29,1.97,0.13,0.24,91,8.6
Nintendo,1.82,1.12,1.32,0.36,73,7.6
Playstation,2.07,1.71,0.08,0.76,86,8.1
Nintendo,3.04,1.11,0,0.43,86,8.4
Nintendo,1.8,1.39,1.11,0.29,86,8.4
Microsoft,2.08,1.97,0.06,0.46,91,8.2
Playstation,4.18,0.26,0.01,0.08,91,7.9
Microsoft,3.19,0.91,0.01,0.42,85,7.9
Playstation,3.63,0.24,0.01,0.61,84,8.2
Microsoft,2.78,1.27,0.03,0.41,84,6.4
Playstation,2.71,1.51,0.03,0.23,76,7.9
Playstation,1.61,2,0.15,0.71,77,3.4
Playstation,2.71,1.29,0.02,0.43,94,8.9
Nintendo,1.54,1.18,1.46,0.26,81,8.5
Nintendo,2.52,1.11,0.46,0.33,77,7.9
Playstation,2.66,1.29,0.01,0.46,97,7.5
Playstation,0.1,2.39,1.05,0.86,86,8.9
Microsoft,2.82,1.03,0.13,0.4,94,8.7
Playstation,2.03,1.79,0.08,0.47,82,9.1
Nintendo,2.64,1.33,0.01,0.39,56,8.3
Playstation,1.74,1.72,0.14,0.75,86,8.1
Playstation,2.2,0.58,1.38,0.17,87,9
Nintendo,2.11,1.16,0.73,0.32,93,9
Microsoft,2.51,1.24,0.11,0.41,89,6.5
Nintendo,3,1.11,0.05,0.07,79,7.3
Playstation,2.24,1.31,0.07,0.61,91,8.9
Playstation,1.46,0,0.83,1.93,91,9.3
Playstation,1.41,2.01,0.1,0.7,80,7.5
Microsoft,2.51,1.32,0.01,0.38,88,6.2
Microsoft,0.92,2.89,0.01,0.4,84,4.2
Playstation,2.45,1.01,0,0.75,85,8.7
Playstation,0.78,2.55,0.04,0.84,80,7.8
Playstation,0.88,2.3,0.2,0.83,80,7.5
Playstation,1.28,1.82,0.57,0.52,80,7.1
Microsoft,2.25,1.47,0.04,0.43,80,7.2
Playstation,2.03,1.04,0.58,0.52,94,7.3
Playstation,3.36,0.21,0.01,0.56,95,7.7
Playstation,1.1,2.15,0.21,0.61,88,8.4
Playstation,2.32,0.04,0.04,1.67,93,8.9
Microsoft,2.66,1.03,0.04,0.33,84,8.1
Microsoft,2.35,1.27,0.03,0.41,90,8.3
Nintendo,2.12,1.47,0.05,0.42,56,6
Playstation,1.4,1.9,0.11,0.64,80,6.3
Playstation,1.68,1.51,0.51,0.35,85,8.5
Playstation,1.13,2.18,0.1,0.63,85,7.7
Microsoft,2.67,0.87,0.05,0.38,89,8.6
Playstation,1.02,2.13,0.23,0.59,92,9.2
Playstation,1.19,2.07,0.08,0.62,70,4.9
Playstation,1.53,1.69,0.1,0.64,87,7.6
Nintendo,2.03,1.16,0.37,0.38,93,8
Playstation,2.15,1.13,0.07,0.59,90,8
Nintendo,0.9,1.76,0.92,0.37,84,8.8
Nintendo,2.09,1.35,0.06,0.4,81,8.7
Playstation,2.29,1.17,0.01,0.42,90,8.7
Nintendo,0.68,0.48,2.62,0.11,86,8.7
Playstation,2.49,0.66,0.03,0.69,87,6.7
Playstation,0.93,1.94,0.31,0.7,88,8.6
Playstation,1.53,1.6,0.06,0.67,84,7.4
Playstation,0.16,1.89,1.12,0.68,91,9.1
Playstation,2.13,1.12,0.1,0.5,76,7.9
Playstation,1.78,1.43,0.05,0.57,78,3.7
Nintendo,0.86,1.56,1.05,0.35,59,4
Playstation,1.35,1.7,0.15,0.6,80,7
Nintendo,1.05,1.91,0.41,0.42,68,6.9
Microsoft,2.4,1.01,0,0.36,77,7.5
Playstation,1.37,2,0.14,0.22,64,7.5
Nintendo,1.95,0.86,0.59,0.31,85,7.9
Playstation,1.93,1.58,0,0.19,91,8.8
Playstation,1.33,1.68,0.13,0.57,88,8.1
Playstation,0.58,2.48,0.04,0.59,81,7.6
Playstation,2.13,1.18,0.01,0.35,94,8.5
Nintendo,1.58,1.59,0.08,0.41,67,7.3
Playstation,1.65,1.21,0,0.79,74,8.4
Playstation,2.53,0.81,0.06,0.24,82,7.9
Playstation,2.08,1.09,0.15,0.33,90,8.7
Playstation,0.05,0,0.64,2.93,82,7.9
Playstation,2.08,0.83,0.46,0.25,96,8.9
Nintendo,2.32,0.96,0,0.34,86,7.6
Playstation,0.6,2.45,0.05,0.52,91,7.6
Playstation,1.93,1.22,0.03,0.44,82,8.7
Playstation,2.02,1.17,0,0.42,64,7.7
Playstation,1.35,1.55,0.17,0.51,85,6.9
Playstation,2.18,1.02,0.03,0.37,84,9
Nintendo,1.6,1.49,0.1,0.39,70,8
Playstation,1.56,1.4,0.07,0.5,78,7.8
Playstation,1.23,1.77,0.05,0.49,72,6.8
Playstation,1.9,1.13,0.1,0.41,72,7.9
Microsoft,0.71,2.39,0.02,0.4,88,7.5
Microsoft,2.66,0.49,0.05,0.3,89,7.9
Microsoft,2.27,0.9,0,0.33,72,4.1
Microsoft,2.11,0.93,0.12,0.34,83,7.5
Microsoft,2.85,0.38,0.03,0.24,89,8.3
Playstation,0.59,2.36,0.04,0.51,84,6.4
Playstation,1.3,1.42,0.27,0.5,80,5.8
Microsoft,2.2,0.95,0.02,0.31,92,8.7
Microsoft,2.15,1.01,0.02,0.31,79,5.6
Microsoft,2.1,1.01,0.04,0.32,88,8.6
Nintendo,2.1,1.01,0.01,0.35,71,8.8
Nintendo,0.59,1.79,0.73,0.34,83,8.4
Microsoft,2.4,0.71,0.03,0.29,84,8.2
Playstation,1.55,1.27,0.33,0.29,79,8.3
Playstation,1.13,2.07,0,0.22,70,8
Playstation,1.09,1.36,0.49,0.48,93,8.2
Playstation,1.75,1.2,0.02,0.43,80,8.9
Playstation,0.46,2.28,0.05,0.61,88,6.7
Playstation,1.83,1.05,0.06,0.46,91,8.4
Playstation,1.56,1.47,0.19,0.17,68,8.2
Playstation,0.81,1.99,0.07,0.52,76,6.8
Microsoft,2.04,1.02,0,0.32,76,7.9
Microsoft,2.14,0.92,0,0.31,75,5.5
Playstation,0.88,1.7,0.1,0.67,90,8.5
Playstation,1.45,1.29,0.12,0.46,77,8.5
Playstation,1.47,1.39,0.03,0.43,60,7.2
Nintendo,1.4,0.91,0.74,0.26,87,7.8
Playstation,1.99,1.05,0.05,0.22,80,8.5
Microsoft,1.9,1.11,0.01,0.29,86,7.9
Playstation,1.5,1.28,0.05,0.46,85,8.7
Microsoft,2.61,0.33,0,0.34,82,7.5
Playstation,1.89,1.05,0.02,0.31,77,8
Nintendo,0.6,1.57,0.82,0.27,86,9.2
Microsoft,0.89,2.12,0,0.24,84,4.4
Nintendo,1.35,1.11,0.46,0.32,63,4.6
Playstation,2.34,0.3,0,0.6,83,5.9
Playstation,0.72,1.67,0.4,0.44,81,7.7
Microsoft,1.91,1,0.03,0.29,85,7.2
Nintendo,1.18,0.89,0.94,0.2,88,8.7
Playstation,1.48,1,0.04,0.66,91,8.6
Playstation,1.78,1.12,0.09,0.19,62,8.1
Playstation,1.35,0.59,0.8,0.43,83,8
Microsoft,2.15,0.76,0.01,0.26,82,7.6
Playstation,1.27,1.29,0.12,0.49,89,7.7
Playstation,2.06,0.56,0.38,0.17,89,9.1
Playstation,0.68,0,0,2.46,83,6.5
Playstation,1.7,1.25,0.02,0.16,87,9
Nintendo,1.06,1.09,0.76,0.22,73,6.8
Nintendo,1.21,1.56,0.06,0.29,82,8.5
Nintendo,0.55,0.5,1.93,0.13,83,9
Playstation,1.52,1.03,0.1,0.46,82,7.8
Nintendo,0.9,1,1.03,0.17,81,7.8
Playstation,1.69,0.85,0.14,0.43,93,8
Nintendo,1.4,1.01,0.46,0.23,91,8.9
Playstation,0.88,0.94,0.88,0.4,74,5.4
Microsoft,1.99,0.81,0.03,0.27,96,8.9
Playstation,2.17,0.28,0.55,0.08,67,7.9
Playstation,2.5,0.16,0.01,0.42,94,7.9
Nintendo,1.8,0.97,0,0.29,74,7.9
Nintendo,0.51,1.02,1.4,0.12,66,6.9
Microsoft,1.89,0.88,0.04,0.25,89,8.2
Nintendo,1.75,1.01,0,0.29,72,8
Microsoft,1.91,0.84,0,0.29,75,7.4
Microsoft,1.94,0.84,0.03,0.24,93,5.8
Playstation,1.29,1.21,0.06,0.47,87,7.7
Microsoft,1.94,0.79,0.02,0.28,81,8.1
Microsoft,1.85,1.04,0,0.13,93,8.5
Playstation,0.61,1.85,0.11,0.44,87,6.3
Playstation,1.4,1.06,0.08,0.47,91,8.1
Microsoft,1.38,1.32,0.02,0.28,91,8.6
Nintendo,2.04,0.63,0.12,0.22,73,7
Microsoft,2.6,0.2,0.01,0.19,88,7.2
Playstation,1.15,0,0.76,1.09,73,9.2
Playstation,0.12,1.26,1.16,0.45,93,9.1
Playstation,1.36,0.86,0.64,0.13,94,8.5
Playstation,1.01,1.43,0.05,0.47,84,8.1
Playstation,1.04,1.37,0.06,0.49,64,7.8
Playstation,1.36,1.15,0.04,0.41,85,7.8
Microsoft,1.84,0.8,0.04,0.27,86,6.4
Playstation,1.33,1.1,0.08,0.44,88,8.5
Playstation,2.22,0.51,0.06,0.15,87,9
Nintendo,2.07,0.77,0.05,0.05,79,7.8
Microsoft,1.82,0.7,0.15,0.26,93,7.3
Playstation,1.76,0.68,0.12,0.37,85,8.3
Nintendo,1.55,0.04,1.19,0.15,76,8.8
Microsoft,1.88,0.77,0,0.27,78,4.3
Microsoft,1.83,0.79,0.03,0.27,91,8.7
Playstation,1.54,1.14,0,0.22,73,8.6
Playstation,0.08,1.24,1.13,0.45,93,9
Microsoft,1.75,0.86,0,0.28,67,6.8
Playstation,0.99,0.32,1.38,0.2,85,8.9
Nintendo,1.41,1.12,0.05,0.3,61,5.3
Playstation,1.51,1.12,0.01,0.24,76,7.7
Nintendo,0.86,1.04,0.73,0.26,83,7.4
Microsoft,2.53,0.15,0,0.17,81,5.8
Microsoft,2.09,0.63,0.03,0.11,87,8.7
Playstation,1.07,1.31,0.06,0.42,83,7.8
Playstation,1.98,0.53,0,0.34,84,8.4
Microsoft,2.52,0.09,0,0.22,85,6.1
Microsoft,1.65,0.85,0.05,0.28,96,8.9
Playstation,1.87,0.55,0.11,0.29,90,8.2
Playstation,1.28,1.04,0.07,0.42,75,7.5
Playstation,1.28,0.98,0.07,0.46,80,7.9
Playstation,2.19,0.22,0,0.38,89,8.6
Playstation,1.68,0.74,0,0.36,87,8.2
Playstation,1.05,1.23,0.03,0.47,89,7.2
Nintendo,1.35,1.13,0,0.3,81,5.6
Playstation,1.5,0.8,0,0.48,83,7.7
Playstation,1.41,1.12,0,0.24,83,7.7
Playstation,1.45,0.86,0.09,0.38,84,7.9
Microsoft,1.74,0.77,0,0.26,73,6.7
Nintendo,1.45,0.07,1.1,0.15,81,7.4
Microsoft,1.25,1.14,0.07,0.3,84,7.6
Playstation,1.2,0.97,0.17,0.42,79,7.4
Nintendo,1.21,1.19,0.04,0.29,69,6.6
Nintendo,1.75,0.52,0.33,0.1,95,9.1
Playstation,0.99,0.48,1.09,0.14,86,8.2
Microsoft,1.52,0.92,0.02,0.24,89,7.8
Microsoft,1.49,0.92,0.02,0.27,82,6.5
Microsoft,2.42,0.11,0,0.16,78,5.9
Playstation,1.85,0.64,0.01,0.19,84,9
Playstation,0.89,1.33,0.08,0.39,73,6.8
Microsoft,2.38,0.12,0,0.18,84,5.7
Playstation,1.23,1.11,0,0.34,93,9.1
Nintendo,1.63,0.51,0.35,0.18,79,7.7
Nintendo,0.28,1.39,0.68,0.32,83,8.7
Playstation,1.48,0.92,0.01,0.26,77,8.2
Playstation,1.44,1.09,0,0.14,92,8.6
Microsoft,1.99,0.58,0,0.09,85,8.5
Microsoft,1.78,0.63,0,0.25,85,6.3
Microsoft,0.43,2.05,0,0.17,84,5.5
Playstation,1.15,1.11,0,0.4,89,7.7
Playstation,0.69,1.4,0.04,0.52,84,6.9
Playstation,0.86,1.11,0.01,0.66,71,7.9
Playstation,0.78,0.73,0.89,0.23,79,6.6
Playstation,2,0.47,0.02,0.14,78,7.8
Microsoft,1.47,0.93,0,0.24,80,8
Playstation,2.15,0.12,0,0.36,90,8.2
Microsoft,1.54,0.8,0.04,0.24,82,7.2
Microsoft,2.31,0.14,0.01,0.16,90,7.7
Microsoft,0.59,1.79,0.01,0.23,90,7.5
Microsoft,1.56,0.8,0.04,0.21,74,6.7
Playstation,0.9,1.22,0.04,0.44,71,7.6
Playstation,1.7,0.44,0.06,0.4,91,8.7
Playstation,2.03,0.21,0,0.35,84,8.1
Nintendo,1.05,1.05,0.24,0.24,79,8
Playstation,0.48,1.63,0.04,0.43,87,7.5
Nintendo,0.62,0.82,0.96,0.18,73,7.7
Playstation,1.4,0.88,0.03,0.26,80,8.6
Microsoft,1.53,0.81,0,0.24,80,7.4
Playstation,2.14,0.08,0,0.35,78,7.8
Playstation,0.37,0.27,1.75,0.18,72,8.7
Playstation,2.11,0.22,0,0.23,83,5.5
Microsoft,1.76,0.55,0.03,0.22,86,7.9
Playstation,0.64,1.22,0.01,0.67,87,7.8
Microsoft,2.21,0.12,0,0.2,83,7
Playstation,1.13,1.12,0.06,0.22,80,7.9
Nintendo,0.26,1.65,0.33,0.28,75,8
Microsoft,2.1,0.19,0,0.23,87,4.9
Nintendo,1.48,0.83,0,0.21,78,7
Nintendo,1.11,0.85,0.29,0.25,50,5.4
Microsoft,2.29,0.02,0,0.19,82,7.5
Playstation,1.81,0.52,0,0.15,79,8.8
Nintendo,1.47,0.77,0,0.24,25,4.3
Playstation,1.03,0.81,0.26,0.38,92,8.6
Microsoft,1.38,0.84,0,0.25,85,7.7
Microsoft,1.93,0.33,0,0.21,92,8.2
Playstation,1.73,0.43,0.05,0.27,90,8
Playstation,0.86,1.04,0.18,0.38,82,7.7
Playstation,1.15,0.84,0.1,0.38,87,6.1
Playstation,1.47,0.54,0.01,0.43,83,7
Playstation,0.93,0.12,1.34,0.06,83,8.2
Playstation,1.56,0.53,0.05,0.31,82,8.2
Playstation,1.07,1.19,0,0.18,81,8.4
Nintendo,1.28,0.93,0,0.22,79,8
Microsoft,1.46,0.74,0,0.22,78,3.1
Microsoft,2.08,0.08,0,0.26,84,6.1
Microsoft,1.56,0.6,0.02,0.23,82,7.8
Playstation,0.87,0.97,0,0.58,73,7.9
Playstation,1.63,0.22,0.51,0.06,66,8.2
Playstation,0.29,1.17,0.54,0.41,77,6.8
Playstation,2.07,0.26,0,0.08,82,8.4
Playstation,0.69,0,0.04,1.68,62,6.2
Microsoft,1.44,0.7,0.04,0.22,82,8.1
Playstation,1.67,0.61,0.03,0.07,91,8.7
Playstation,2.04,0.15,0,0.2,83,6.1
Microsoft,1.48,0.69,0,0.2,71,6.9
Playstation,0.96,1.08,0.04,0.3,62,7.6
Microsoft,2.18,0.01,0,0.18,85,6.4
Playstation,1.25,0.86,0.01,0.26,83,8.8
Microsoft,1.74,0.45,0,0.18,42,5.5
Playstation,2.03,0.13,0,0.21,85,6.8
Microsoft,1.68,0.45,0.01,0.21,81,8.5
Microsoft,1.73,0.43,0.02,0.17,73,2.9
Playstation,0.92,0,0.01,1.41,71,7.2
Nintendo,1.15,0.55,0.47,0.17,89,9
Nintendo,1.51,0.61,0,0.21,78,6.6
Playstation,1.08,0.7,0.34,0.21,84,8.4
Microsoft,1.95,0.15,0,0.24,86,6.2
Microsoft,1.38,0.72,0.02,0.22,66,6.5
Playstation,0.85,1.06,0.09,0.32,84,9.1
Playstation,1.58,0.64,0,0.09,86,8.5
Nintendo,1.12,0.41,0.64,0.14,75,5.6
Playstation,1.07,0.8,0.04,0.38,76,7.7
Playstation,1.02,0.9,0,0.36,80,6.7
Microsoft,1.38,0.8,0,0.1,77,8.7
Playstation,0.3,1.27,0.46,0.26,78,6.7
Playstation,0.38,0.07,0.01,1.82,82,6.9
Nintendo,1.07,0.99,0,0.22,72,7.2
Microsoft,1.27,0.81,0,0.2,76,7.1
Nintendo,0.94,0.53,0.62,0.18,68,8.2
Playstation,1.08,0.73,0.15,0.31,71,6.6
Nintendo,1.22,0.1,0.91,0.04,81,8.9
Nintendo,0.9,0.73,0.54,0.09,88,8.9
Playstation,1.34,0.6,0,0.31,80,8.6
Playstation,0.6,1.25,0.06,0.35,76,6.3
Microsoft,1.28,0.77,0,0.2,87,8.2
Playstation,0.62,0.44,1.06,0.13,84,9
Playstation,1.93,0.15,0,0.17,79,5.5
Playstation,1.23,0.63,0.04,0.35,80,7.5
Playstation,1.4,0.53,0.02,0.3,83,7.8
Nintendo,1.19,0.71,0.22,0.13,87,8.1
Nintendo,1.05,0.91,0.04,0.24,74,5.7
Nintendo,1.17,0.84,0,0.23,69,6.7
Nintendo,1.25,0.62,0.18,0.18,77,7.9
Nintendo,1.29,0.83,0,0.11,74,8
Playstation,0.51,0.5,0.91,0.31,79,8
Microsoft,1.98,0.06,0,0.19,80,5.6
Playstation,1.05,0.72,0.1,0.35,91,8.2
Playstation,0.88,1.03,0,0.31,92,8.8
Nintendo,0.65,0.4,1.05,0.11,84,8.6
Microsoft,1.24,0.79,0,0.19,80,7.6
Playstation,0.55,1.19,0.14,0.33,73,7.3
Playstation,1.01,0.85,0,0.35,71,6.6
Microsoft,2.01,0.02,0,0.17,92,8.1
Microsoft,1.21,0.79,0.01,0.19,79,5.9
Microsoft,1.78,0.24,0,0.18,92,8.3
Microsoft,1.03,0.96,0,0.21,88,7
Nintendo,1.4,0.59,0,0.2,80,7.9
Microsoft,1.45,0.54,0.02,0.19,88,8.2
Microsoft,1.68,0.44,0,0.08,94,9.2
Playstation,1.54,0.25,0,0.4,81,6.1
Playstation,0.34,0.96,0.55,0.33,80,6.6
Microsoft,1.17,0.77,0.02,0.22,81,7.5
Playstation,1.92,0.2,0,0.06,82,8.9
Microsoft,0.6,1.42,0,0.16,82,5.4
Microsoft,1.29,0.68,0,0.2,80,6.9
Microsoft,1.28,0.67,0.01,0.21,82,6.3
Nintendo,1.67,0.3,0.02,0.18,79,7.6
Nintendo,1.26,0.67,0.02,0.21,66,7.3
Nintendo,1.28,0.03,0.73,0.12,69,7.6
Playstation,0.81,0.85,0.15,0.33,90,6.1
Playstation,0.59,1.05,0.07,0.44,83,7.5
Playstation,0.52,1.02,0,0.59,64,7.5
Playstation,1.04,0.81,0,0.27,77,9
Nintendo,0.82,0.37,0.89,0.05,87,7.8
Nintendo,1.49,0.46,0,0.18,62,5.2
Microsoft,1.37,0.61,0.05,0.09,85,8.2
Playstation,1.62,0.26,0.05,0.18,90,6.7
Playstation,1.68,0.31,0.02,0.09,89,8.5
Playstation,0.63,0.21,1.13,0.13,78,9.3
Playstation,1.44,0.31,0.04,0.32,84,4.9
Playstation,0.94,0.07,1.05,0.04,81,8.9
Nintendo,0.63,0.05,1.35,0.08,84,8.7
Playstation,0.71,0.94,0.14,0.32,73,5
Microsoft,1.63,0.31,0,0.16,86,8.3
Playstation,1.2,0.6,0,0.29,83,7.9
Playstation,0.99,0.63,0.29,0.19,84,9
Microsoft,1.84,0.12,0.01,0.13,89,8.1
Playstation,0.96,0.67,0.12,0.34,74,7.9
Microsoft,1.16,0.64,0.08,0.2,85,7.6
Playstation,1.11,0.71,0,0.27,44,6.2
Nintendo,0.89,0.04,1.07,0.09,77,7.1
Nintendo,1.33,0.56,0,0.2,80,6.3
Microsoft,1.41,0.49,0.01,0.17,95,8.5
Nintendo,0.88,0.44,0.63,0.12,64,7.1
Playstation,1.77,0.12,0.02,0.17,72,7.8
Nintendo,0.92,0.93,0,0.22,49,5.2
Nintendo,1.35,0.52,0,0.19,73,7.1
Playstation,0.36,1.38,0.02,0.31,71,6.1
