"","Platform","Genre","Publisher","Global_Sales"
"147","PS3","Action","Sony Computer Entertainment Europe","[0.33,82.7]"
"148","PS2","Role-Playing","Square Enix","[0.33,82.7]"
"149","PS3","Platform","Sony Computer Entertainment","[0.33,82.7]"
"150","DS","Role-Playing","Nintendo","[0.33,82.7]"
"151","Wii","Action","LucasArts","[0.33,82.7]"
"152","PS","Action","Virgin Interactive","[0.33,82.7]"
"153","PS","Fighting","Sony Computer Entertainment","[0.33,82.7]"
"154","DS","Simulation","505 Games","[0.33,82.7]"
"155","PS4","Shooter","Activision","[0.33,82.7]"
"156","NES","Puzzle","Nintendo","[0.33,82.7]"
"157","PS3","Action","Ubisoft","[0.33,82.7]"
"158","N64","Fighting","Nintendo","[0.33,82.7]"
"159","X360","Adventure","Ubisoft","[0.33,82.7]"
"160","PS3","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"161","X360","Racing","Microsoft Game Studios","[0.33,82.7]"
"162","PSP","Role-Playing","Capcom","[0.33,82.7]"
"163","GBA","Platform","Nintendo","[0.33,82.7]"
"164","GBA","Racing","Nintendo","[0.33,82.7]"
"165","GBA","Platform","Nintendo","[0.33,82.7]"
"166","N64","Strategy","Nintendo","[0.33,82.7]"
"167","PS3","Shooter","Activision","[0.33,82.7]"
"168","PS2","Platform","Universal Interactive","[0.33,82.7]"
"169","PS3","Misc","Sony Computer Entertainment","[0.33,82.7]"
"170","PS3","Role-Playing","Square Enix","[0.33,82.7]"
"171","GB","Puzzle","Nintendo","[0.33,82.7]"
"172","GB","Misc","Nintendo","[0.33,82.7]"
"173","X360","Action","Ubisoft","[0.33,82.7]"
"174","PS","Role-Playing","SquareSoft","[0.33,82.7]"
"175","PS2","Role-Playing","Electronic Arts","[0.33,82.7]"
"176","N64","Platform","Nintendo","[0.33,82.7]"
"177","X360","Action","Ubisoft","[0.33,82.7]"
"178","DS","Puzzle","Nintendo","[0.33,82.7]"
"179","PS","Action","Eidos Interactive","[0.33,82.7]"
"180","PS2","Sports","Electronic Arts","[0.33,82.7]"
"181","PS2","Role-Playing","Square Enix","[0.33,82.7]"
"182","PC","Role-Playing","Activision","[0.33,82.7]"
"183","GBA","Platform","Nintendo","[0.33,82.7]"
"184","WiiU","Platform","Nintendo","[0.33,82.7]"
"185","GB","Platform","Nintendo","[0.33,82.7]"
"186","X360","Action","Electronic Arts","[0.33,82.7]"
"187","DS","Action","Nintendo","[0.33,82.7]"
"188","SNES","Platform","Nintendo","[0.33,82.7]"
"189","3DS","Simulation","Nintendo","[0.33,82.7]"
"190","DS","Sports","Sega","[0.33,82.7]"
"191","PS2","Shooter","Electronic Arts","[0.33,82.7]"
"192","GB","Platform","Nintendo","[0.33,82.7]"
"193","X360","Role-Playing","Microsoft Game Studios","[0.33,82.7]"
"194","XOne","Shooter","Activision","[0.33,82.7]"
"195","PC","Simulation","Microsoft Game Studios","[0.33,82.7]"
"196","PS2","Misc","RedOctane","[0.33,82.7]"
"197","PS3","Action","Capcom","[0.33,82.7]"
"198","XOne","Action","Take-Two Interactive","[0.33,82.7]"
"199","PSP","Action","Take-Two Interactive","[0.33,82.7]"
"200","PS3","Sports","Electronic Arts","[0.33,82.7]"
"201","GB","Platform","Nintendo","[0.33,82.7]"
"202","PS","Action","Virgin Interactive","[0.33,82.7]"
"203","PS","Sports","Activision","[0.33,82.7]"
"204","WiiU","Fighting","Nintendo","[0.33,82.7]"
"205","PS","Strategy","Eidos Interactive","[0.33,82.7]"
"206","PS","Platform","Sony Computer Entertainment","[0.33,82.7]"
"207","Wii","Shooter","Nintendo","[0.33,82.7]"
"208","PS2","Misc","Activision","[0.33,82.7]"
"209","X360","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"210","DS","Role-Playing","Nintendo","[0.33,82.7]"
"211","PS3","Action","Sony Computer Entertainment","[0.33,82.7]"
"212","PS2","Sports","Electronic Arts","[0.33,82.7]"
"213","DS","Action","LucasArts","[0.33,82.7]"
"214","N64","Racing","Nintendo","[0.33,82.7]"
"215","PSP","Role-Playing","Capcom","[0.33,82.7]"
"216","NES","Puzzle","Nintendo","[0.33,82.7]"
"217","PS3","Action","Sony Computer Entertainment","[0.33,82.7]"
"218","PC","Strategy","Activision","[0.33,82.7]"
"219","PS3","Adventure","Ubisoft","[0.33,82.7]"
"220","PS3","Sports","Electronic Arts","[0.33,82.7]"
"221","PS","Racing","Sony Computer Entertainment","[0.33,82.7]"
"222","PS4","Sports","Electronic Arts","[0.33,82.7]"
"223","X360","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"224","PS","Action","Atari","[0.33,82.7]"
"225","PS2","Racing","Vivendi Games","[0.33,82.7]"
"226","PS","Sports","Activision","[0.33,82.7]"
"227","Wii","Simulation","Nintendo","[0.33,82.7]"
"228","PS2","Action","Electronic Arts","[0.33,82.7]"
"229","X360","Racing","Microsoft Game Studios","[0.33,82.7]"
"230","PS","Action","Eidos Interactive","[0.33,82.7]"
"231","Wii","Misc","Activision","[0.33,82.7]"
"232","SNES","Action","Nintendo","[0.33,82.7]"
"233","GC","Action","Nintendo","[0.33,82.7]"
"234","Wii","Sports","Sega","[0.33,82.7]"
"235","3DS","Action","Nintendo","[0.33,82.7]"
"236","WiiU","Shooter","Nintendo","[0.33,82.7]"
"237","PS4","Action","Sony Computer Entertainment","[0.33,82.7]"
"238","X360","Misc","Activision","[0.33,82.7]"
"239","PS2","Sports","Electronic Arts","[0.33,82.7]"
"240","2600","Platform","Activision","[0.33,82.7]"
"241","PS2","Sports","Electronic Arts","[0.33,82.7]"
"242","PS2","Action","Activision","[0.33,82.7]"
"243","PS","Role-Playing","Enix Corporation","[0.33,82.7]"
"244","PS4","Action","Sony Computer Entertainment","[0.33,82.7]"
"245","PS3","Shooter","Activision","[0.33,82.7]"
"246","PS2","Action","Sony Computer Entertainment","[0.33,82.7]"
"247","WiiU","Misc","Nintendo","[0.33,82.7]"
"248","Wii","Misc","Ubisoft","[0.33,82.7]"
"249","PS2","Sports","Activision","[0.33,82.7]"
"250","PS2","Sports","Konami Digital Entertainment","[0.33,82.7]"
"251","X360","Role-Playing","Take-Two Interactive","[0.33,82.7]"
"252","NES","Adventure","Nintendo","[0.33,82.7]"
"253","PS2","Racing","Electronic Arts","[0.33,82.7]"
"254","PS3","Shooter","Sony Computer Entertainment","[0.33,82.7]"
"255","GEN","Platform","Sega","[0.33,82.7]"
"256","PS2","Role-Playing","Square Enix","[0.33,82.7]"
"257","X360","Sports","Electronic Arts","[0.33,82.7]"
"258","X360","Shooter","Activision","[0.33,82.7]"
"259","2600","Shooter","Atari","[0.33,82.7]"
"260","X360","Role-Playing","Microsoft Game Studios","[0.33,82.7]"
"261","XOne","Shooter","Microsoft Game Studios","[0.33,82.7]"
"262","WiiU","Platform","Nintendo","[0.33,82.7]"
"263","PS3","Action","Eidos Interactive","[0.33,82.7]"
"264","PS3","Action","Ubisoft","[0.33,82.7]"
"265","GBA","Misc","Namco Bandai Games","[0.33,82.7]"
"266","PS2","Action","Konami Digital Entertainment","[0.33,82.7]"
"267","PSP","Platform","Sony Computer Entertainment","[0.33,82.7]"
"268","PC","Strategy","Activision","[0.33,82.7]"
"269","3DS","Action","Nintendo","[0.33,82.7]"
"270","PS2","Sports","Electronic Arts","[0.33,82.7]"
"271","PS2","Misc","Sony Computer Entertainment","[0.33,82.7]"
"272","PS4","Shooter","Sony Computer Entertainment","[0.33,82.7]"
"273","PS3","Racing","Sony Computer Entertainment","[0.33,82.7]"
"274","X360","Action","Ubisoft","[0.33,82.7]"
"275","PS3","Fighting","Capcom","[0.33,82.7]"
"276","X360","Sports","Electronic Arts","[0.33,82.7]"
"277","NES","Action","Palcom","[0.33,82.7]"
"278","NES","Racing","Nintendo","[0.33,82.7]"
"279","PS","Action","Hasbro Interactive","[0.33,82.7]"
"280","PS2","Sports","Electronic Arts","[0.33,82.7]"
"281","PS4","Action","Ubisoft","[0.33,82.7]"
"282","PC","Shooter","Vivendi Games","[0.33,82.7]"
"283","SNES","Platform","Nintendo","[0.33,82.7]"
"284","PS2","Sports","Electronic Arts","[0.33,82.7]"
"285","Wii","Action","Nintendo","[0.33,82.7]"
"286","SNES","Fighting","Capcom","[0.33,82.7]"
"287","Wii","Misc","Take-Two Interactive","[0.33,82.7]"
"288","XOne","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"289","PC","Role-Playing","Activision","[0.33,82.7]"
"290","X360","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"291","PS2","Action","Sony Computer Entertainment","[0.33,82.7]"
"292","X360","Racing","Microsoft Game Studios","[0.33,82.7]"
"293","PS2","Sports","Konami Digital Entertainment","[0.33,82.7]"
"294","PS","Misc","Sony Computer Entertainment","[0.33,82.7]"
"295","PS2","Fighting","Namco Bandai Games","[0.33,82.7]"
"296","PS4","Shooter","Ubisoft","[0.33,82.7]"
"297","N64","Shooter","Nintendo","[0.33,82.7]"
"298","PS4","Misc","Sony Computer Entertainment Europe","[0.33,82.7]"
"299","NES","Sports","Nintendo","[0.33,82.7]"
"300","PS3","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"301","DS","Puzzle","Nintendo","[0.33,82.7]"
"302","X360","Shooter","Electronic Arts","[0.33,82.7]"
"303","PS2","Misc","Namco Bandai Games","[0.33,82.7]"
"304","Wii","Sports","Electronic Arts","[0.33,82.7]"
"305","PS4","Action","Ubisoft","[0.33,82.7]"
"306","GB","Platform","Nintendo","[0.33,82.7]"
"307","PS2","Sports","Activision","[0.33,82.7]"
"308","PS3","Action","Ubisoft","[0.33,82.7]"
"309","3DS","Role-Playing","Nintendo","[0.33,82.7]"
"310","PS3","Racing","Sony Computer Entertainment","[0.33,82.7]"
"311","PC","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"312","PS2","Fighting","Namco Bandai Games","[0.33,82.7]"
"313","NES","Role-Playing","Enix Corporation","[0.33,82.7]"
"314","PS3","Sports","Sony Computer Entertainment","[0.33,82.7]"
"315","PS4","Sports","Take-Two Interactive","[0.33,82.7]"
"316","PS2","Sports","Konami Digital Entertainment","[0.33,82.7]"
"317","DS","Misc","Nintendo","[0.33,82.7]"
"318","PS","Misc","Sony Computer Entertainment","[0.33,82.7]"
"319","GB","Action","Nintendo","[0.33,82.7]"
"320","DS","Role-Playing","Nintendo","[0.33,82.7]"
"321","Wii","Misc","Nintendo","[0.33,82.7]"
"322","3DS","Simulation","Nintendo","[0.33,82.7]"
"323","PS4","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"324","Wii","Sports","Sega","[0.33,82.7]"
"325","X360","Action","Activision","[0.33,82.7]"
"326","PS","Action","Virgin Interactive","[0.33,82.7]"
"327","PSP","Platform","Sony Computer Entertainment","[0.33,82.7]"
"328","Wii","Misc","Ubisoft","[0.33,82.7]"
"329","PC","Simulation","Electronic Arts","[0.33,82.7]"
"330","Wii","Platform","Nintendo","[0.33,82.7]"
"331","PS","Action","Electronic Arts","[0.33,82.7]"
"332","PS4","Role-Playing","Namco Bandai Games","[0.33,82.7]"
"333","PS","Action","Eidos Interactive","[0.33,82.7]"
"334","PS","Platform","Sony Computer Entertainment","[0.33,82.7]"
"335","PS2","Sports","Electronic Arts","[0.33,82.7]"
"336","GB","Strategy","Nintendo","[0.33,82.7]"
"337","PS3","Shooter","Electronic Arts","[0.33,82.7]"
"338","DS","Simulation","Electronic Arts","[0.33,82.7]"
"339","DS","Misc","Nintendo","[0.33,82.7]"
"340","PS2","Sports","Activision","[0.33,82.7]"
"341","PSP","Racing","Take-Two Interactive","[0.33,82.7]"
"342","N64","Platform","Nintendo","[0.33,82.7]"
"343","PS2","Shooter","Sony Computer Entertainment","[0.33,82.7]"
"344","Wii","Misc","Activision","[0.33,82.7]"
"345","PS3","Racing","Sony Computer Entertainment","[0.33,82.7]"
"346","PS2","Platform","Sony Computer Entertainment","[0.33,82.7]"
"347","N64","Simulation","Nintendo","[0.33,82.7]"
"348","PS3","Sports","Electronic Arts","[0.33,82.7]"
"349","PS2","Sports","Konami Digital Entertainment","[0.33,82.7]"
"350","PS4","Shooter","Activision","[0.33,82.7]"
"351","PS2","Action","Capcom","[0.33,82.7]"
"352","PS4","Shooter","Ubisoft","[0.33,82.7]"
"353","PS2","Shooter","LucasArts","[0.33,82.7]"
"354","PC","Shooter","Virgin Interactive","[0.33,82.7]"
"355","PS2","Racing","Electronic Arts","[0.33,82.7]"
"356","DS","Simulation","505 Games","[0.33,82.7]"
"357","GC","Action","Nintendo","[0.33,82.7]"
"358","PS2","Shooter","LucasArts","[0.33,82.7]"
"359","PS","Fighting","THQ","[0.33,82.7]"
"360","PS","Platform","Fox Interactive","[0.33,82.7]"
"361","PS2","Action","Take-Two Interactive","[0.33,82.7]"
"362","PS2","Action","Sony Computer Entertainment","[0.33,82.7]"
"363","PS","Action","Eidos Interactive","[0.33,82.7]"
"364","PS2","Shooter","Electronic Arts","[0.33,82.7]"
"365","PS2","Action","Eidos Interactive","[0.33,82.7]"
"366","X360","Shooter","Electronic Arts","[0.33,82.7]"
"367","X360","Sports","Electronic Arts","[0.33,82.7]"
"368","PS","Action","THQ","[0.33,82.7]"
"369","PS","Platform","Sony Computer Entertainment","[0.33,82.7]"
"370","X360","Shooter","Electronic Arts","[0.33,82.7]"
"371","DS","Sports","Sega","[0.33,82.7]"
"372","X360","Action","Capcom","[0.33,82.7]"
"373","SNES","Platform","Nintendo","[0.33,82.7]"
"374","X360","Action","Ubisoft","[0.33,82.7]"
"375","NES","Action","Nintendo","[0.33,82.7]"
"376","X360","Action","Eidos Interactive","[0.33,82.7]"
"377","DS","Misc","Nintendo","[0.33,82.7]"
"378","PS2","Sports","Electronic Arts","[0.33,82.7]"
"379","XOne","Shooter","Electronic Arts","[0.33,82.7]"
"380","X360","Shooter","Electronic Arts","[0.33,82.7]"
"381","DS","Misc","Activision","[0.33,82.7]"
"382","XOne","Action","Ubisoft","[0.33,82.7]"
"383","PS3","Shooter","Ubisoft","[0.33,82.7]"
"384","3DS","Role-Playing","Capcom","[0.33,82.7]"
"385","X360","Shooter","Take-Two Interactive","[0.33,82.7]"
"386","PS2","Fighting","Namco Bandai Games","[0.33,82.7]"
"387","PS4","Shooter","Electronic Arts","[0.33,82.7]"
"388","PS3","Platform","Sony Computer Entertainment","[0.33,82.7]"
"389","PS","Action","Take-Two Interactive","[0.33,82.7]"
"390","SNES","Role-Playing","SquareSoft","[0.33,82.7]"
"391","PS2","Action","Activision","[0.33,82.7]"
"392","GB","Racing","Nintendo","[0.33,82.7]"
"393","PS2","Sports","Electronic Arts","[0.33,82.7]"
"394","PS","Misc","Sony Computer Entertainment","[0.33,82.7]"
"395","X360","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"396","PS4","Action","Konami Digital Entertainment","[0.33,82.7]"
"397","DS","Action","Nintendo","[0.33,82.7]"
"398","PS","Fighting","Acclaim Entertainment","[0.33,82.7]"
"399","N64","Action","Nintendo","[0.33,82.7]"
"400","DS","Puzzle","Nintendo","[0.33,82.7]"
"401","PS","Adventure","THQ","[0.33,82.7]"
"402","X360","Action","Ubisoft","[0.33,82.7]"
"403","DS","Misc","Nintendo","[0.33,82.7]"
"404","PS2","Shooter","Electronic Arts","[0.33,82.7]"
"405","PS2","Platform","Sony Computer Entertainment","[0.33,82.7]"
"406","Wii","Misc","Nintendo","[0.33,82.7]"
"407","PS2","Action","LucasArts","[0.33,82.7]"
"408","PS2","Shooter","Take-Two Interactive","[0.33,82.7]"
"409","PS2","Action","Electronic Arts","[0.33,82.7]"
"410","PS4","Action","Ubisoft","[0.33,82.7]"
"411","XOne","Shooter","Activision","[0.33,82.7]"
"412","PS2","Action","Activision","[0.33,82.7]"
"413","Wii","Misc","Nintendo","[0.33,82.7]"
"414","PSP","Racing","Sony Computer Entertainment","[0.33,82.7]"
"415","3DS","Action","Capcom","[0.33,82.7]"
"416","PS","Fighting","Sony Computer Entertainment","[0.33,82.7]"
"417","XOne","Sports","Electronic Arts","[0.33,82.7]"
"418","PS3","Adventure","Take-Two Interactive","[0.33,82.7]"
"419","PS4","Sports","Electronic Arts","[0.33,82.7]"
"420","3DS","Role-Playing","Nintendo","[0.33,82.7]"
"421","PS","Shooter","Electronic Arts","[0.33,82.7]"
"422","NES","Sports","Nintendo","[0.33,82.7]"
"423","SNES","Fighting","Nintendo","[0.33,82.7]"
"424","PS","Fighting","THQ","[0.33,82.7]"
"425","PSP","Role-Playing","Square Enix","[0.33,82.7]"
"426","PSP","Action","Sony Computer Entertainment","[0.33,82.7]"
"427","SNES","Role-Playing","Enix Corporation","[0.33,82.7]"
"428","X360","Misc","MTV Games","[0.33,82.7]"
"429","PS2","Action","Atari","[0.33,82.7]"
"430","WiiU","Platform","Nintendo","[0.33,82.7]"
"431","PS3","Role-Playing","Bethesda Softworks","[0.33,82.7]"
"432","Wii","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"433","DS","Misc","Nintendo","[0.33,82.7]"
"434","PS2","Simulation","Sony Computer Entertainment Europe","[0.33,82.7]"
"435","DS","Adventure","Disney Interactive Studios","[0.33,82.7]"
"436","GC","Simulation","Nintendo","[0.33,82.7]"
"437","DS","Action","Warner Bros. Interactive Entertainment","[0.33,82.7]"
"438","DS","Platform","Sega","[0.33,82.7]"
"439","PS3","Shooter","Capcom","[0.33,82.7]"
"440","XOne","Shooter","Microsoft Game Studios","[0.33,82.7]"
"441","PS2","Sports","Electronic Arts","[0.33,82.7]"
"442","PS","Action","Activision","[0.33,82.7]"
"443","PS","Racing","Electronic Arts","[0.33,82.7]"
"444","N64","Racing","Nintendo","[0.33,82.7]"
"445","DS","Misc","Nintendo","[0.33,82.7]"
"446","PS3","Role-Playing","Ubisoft","[0.33,82.7]"
"447","NES","Role-Playing","Enix Corporation","[0.33,82.7]"
"448","PS3","Adventure","Sony Computer Entertainment","[0.33,82.7]"
"449","X360","Role-Playing","Electronic Arts","[0.33,82.7]"
"450","X360","Sports","Electronic Arts","[0.33,82.7]"
"451","PS2","Fighting","Atari","[0.33,82.7]"
"452","PS2","Sports","Electronic Arts","[0.33,82.7]"
"453","NES","Sports","Namco Bandai Games","[0.33,82.7]"
"454","X360","Shooter","Take-Two Interactive","[0.33,82.7]"
"455","3DS","Action","Nintendo","[0.33,82.7]"
"456","GB","Platform","Nintendo","[0.33,82.7]"
"457","PC","Simulation","Electronic Arts","[0.33,82.7]"
"458","X360","Role-Playing","Electronic Arts","[0.33,82.7]"
"459","X360","Action","Activision","[0.33,82.7]"
"460","X360","Shooter","Ubisoft","[0.33,82.7]"
"461","Wii","Platform","Disney Interactive Studios","[0.33,82.7]"
"462","X360","Action","THQ","[0.33,82.7]"
"463","PS","Platform","Ubisoft","[0.33,82.7]"
"464","PS3","Shooter","Sony Computer Entertainment","[0.33,82.7]"
"465","XB","Action","Ubisoft","[0.33,82.7]"
"466","NES","Fighting","Nintendo","[0.33,82.7]"
"467","PS2","Sports","THQ","[0.33,82.7]"
"468","XOne","Shooter","Microsoft Game Studios","[0.33,82.7]"
"469","X360","Sports","Take-Two Interactive","[0.33,82.7]"
"470","PS2","Fighting","Atari","[0.33,82.7]"
